image,width_px,height_px,num_channels,source_file,recovery_file,recovered,acquisition_id,acquisition_description,acquisition_start_x_um,acquisition_start_y_um,acquisition_end_x_um,acquisition_end_y_um,acquisition_width_um,acquisition_height_um
10123900-USL-VAR-TIS-01-IMC-02_001.tiff,600,600,44,10123900-USL-VAR-TIS-01-IMC-02.mcd,,False,1,pos1_1_Na,31617.0,5973.0,32217.0,5373.0,600.0,600.0
10123900-USL-VAR-TIS-01-IMC-02_002.tiff,600,600,44,10123900-USL-VAR-TIS-01-IMC-02.mcd,,False,2,pos1_2_Na,24374.0,19105.0,24974.0,18505.0,600.0,600.0
10123900-USL-VAR-TIS-01-IMC-02_003.tiff,600,600,44,10123900-USL-VAR-TIS-01-IMC-02.mcd,,False,3,pos1_3_Na,30754.436,6195.59,31354.436,5595.59,600.0,600.0
10123899-USL-VAR-TIS-01-IMC-02_001.tiff,600,600,44,10123899-USL-VAR-TIS-01-IMC-02.mcd,,False,1,pos1_1_Na,29211.0,10559.0,29811.0,9959.0,600.0,600.0
10123899-USL-VAR-TIS-01-IMC-02_003.tiff,600,600,44,10123899-USL-VAR-TIS-01-IMC-02.mcd,,False,3,pos1_3_Na,26968.576,6422.877,27568.576,5822.877,600.0,600.0
10123899-USL-VAR-TIS-01-IMC-02_004.tiff,600,600,44,10123899-USL-VAR-TIS-01-IMC-02.mcd,,False,4,pos1_1_NEW,29378.576,11485.877,29978.576,10885.877,600.0,600.0
10123898-USL-VAR-TIS-01-IMC-02_001.tiff,600,600,44,10123898-USL-VAR-TIS-01-IMC-02.mcd,,False,1,pos1_1_Na,33939.0,6889.0,34539.0,6289.0,600.0,600.0
10123898-USL-VAR-TIS-01-IMC-02_002.tiff,600,600,44,10123898-USL-VAR-TIS-01-IMC-02.mcd,,False,2,pos1_2_Na,29673.0,8020.0,30273.0,7420.0,600.0,600.0
10123898-USL-VAR-TIS-01-IMC-02_003.tiff,600,600,44,10123898-USL-VAR-TIS-01-IMC-02.mcd,,False,3,pos1_3_Na,29197.0,18864.0,29797.0,18264.0,600.0,600.0
10123897-USL-VAR-TIS-01-IMC-02_001.tiff,600,600,44,10123897-USL-VAR-TIS-01-IMC-02.mcd,,False,1,pos1_1_Na,35101.0,16720.0,35701.0,16120.0,600.0,600.0
10123897-USL-VAR-TIS-01-IMC-02_002.tiff,600,600,44,10123897-USL-VAR-TIS-01-IMC-02.mcd,,False,2,pos1_2_Na,32063.0,14701.0,32663.0,14101.0,600.0,600.0
10123897-USL-VAR-TIS-01-IMC-02_003.tiff,600,600,44,10123897-USL-VAR-TIS-01-IMC-02.mcd,,False,3,pos1_3_Na,28319.0,14271.0,28919.0,13671.0,600.0,600.0
10123895-USL-VAR-TIS-01-IMC-02_001.tiff,600,600,44,10123895-USL-VAR-TIS-01-IMC-02.mcd,,False,1,pos1_1_Na,17263.0,14868.0,17863.0,14268.0,600.0,600.0
10123895-USL-VAR-TIS-01-IMC-02_002.tiff,600,600,44,10123895-USL-VAR-TIS-01-IMC-02.mcd,,False,2,pos1_2_Na,15792.0,15022.0,16392.0,14422.0,600.0,600.0
10123895-USL-VAR-TIS-01-IMC-02_003.tiff,600,600,44,10123895-USL-VAR-TIS-01-IMC-02.mcd,,False,3,pos1_3_Na,17584.0,12988.0,18184.0,12388.0,600.0,600.0
10123894-USL-VAR-TIS-01-IMC-02_001.tiff,600,600,44,10123894-USL-VAR-TIS-01-IMC-02.mcd,,False,1,pos1_1_Na,28821.0,17793.0,29421.0,17193.0,600.0,600.0
10123894-USL-VAR-TIS-01-IMC-02_002.tiff,600,600,44,10123894-USL-VAR-TIS-01-IMC-02.mcd,,False,2,pos1_2_Na,34726.0,9555.0,35326.0,8955.0,600.0,600.0
10123894-USL-VAR-TIS-01-IMC-02_003.tiff,600,600,44,10123894-USL-VAR-TIS-01-IMC-02.mcd,,False,3,pos1_3_Na,30329.0,6230.0,30929.0,5630.0,600.0,600.0
10123893-USL-VAR-TIS-01-IMC-02_001.tiff,600,600,44,10123893-USL-VAR-TIS-01-IMC-02.mcd,,False,1,pos1_1_Na,30455.0,15959.0,31055.0,15359.0,600.0,600.0
10123893-USL-VAR-TIS-01-IMC-02_002.tiff,600,600,44,10123893-USL-VAR-TIS-01-IMC-02.mcd,,False,2,pos1_2_Na,20671.0,16516.0,21271.0,15916.0,600.0,600.0
10123893-USL-VAR-TIS-01-IMC-02_003.tiff,600,600,44,10123893-USL-VAR-TIS-01-IMC-02.mcd,,False,3,pos1_3_Na,21769.0,13675.0,22369.0,13075.0,600.0,600.0
10123892-USL-VAR-TIS-01-IMC-02_001.tiff,600,600,44,10123892-USL-VAR-TIS-01-IMC-02.mcd,,False,1,pos1_1_Na,34635.0,14369.0,35235.0,13769.0,600.0,600.0
10123892-USL-VAR-TIS-01-IMC-02_002.tiff,600,600,44,10123892-USL-VAR-TIS-01-IMC-02.mcd,,False,2,pos1_2_Na,32650.0,17368.0,33250.0,16768.0,600.0,600.0
10123892-USL-VAR-TIS-01-IMC-02_003.tiff,600,600,44,10123892-USL-VAR-TIS-01-IMC-02.mcd,,False,3,pos1_3_Na,24245.0,13976.0,24845.0,13376.0,600.0,600.0
10123888-USL-VAR-TIS-01-IMC-02_001.tiff,600,600,44,10123888-USL-VAR-TIS-01-IMC-02.mcd,,False,1,pos1_1_Na,31647.0,15388.0,32247.0,14788.0,600.0,600.0
10123888-USL-VAR-TIS-01-IMC-02_002.tiff,600,600,44,10123888-USL-VAR-TIS-01-IMC-02.mcd,,False,2,pos1_2_Na,32491.0,15736.0,33091.0,15136.0,600.0,600.0
10123888-USL-VAR-TIS-01-IMC-02_003.tiff,600,600,44,10123888-USL-VAR-TIS-01-IMC-02.mcd,,False,3,pos1_3_Na,30409.0,16601.0,31009.0,16001.0,600.0,600.0
10123887-USL-VAR-TIS-01-IMC-02_001.tiff,600,600,44,10123887-USL-VAR-TIS-01-IMC-02.mcd,,False,1,pos1_1_Na,28319.0,17576.0,28919.0,16976.0,600.0,600.0
10123887-USL-VAR-TIS-01-IMC-02_002.tiff,600,600,44,10123887-USL-VAR-TIS-01-IMC-02.mcd,,False,2,pos1_2_Na,20988.0,9875.0,21588.0,9275.0,600.0,600.0
10123887-USL-VAR-TIS-01-IMC-02_003.tiff,600,600,44,10123887-USL-VAR-TIS-01-IMC-02.mcd,,False,3,pos1_3_Na,28878.0,5928.0,29478.0,5328.0,600.0,600.0
10123886-USL-VAR-TIS-01-IMC-02_001.tiff,600,600,44,10123886-USL-VAR-TIS-01-IMC-02.mcd,,False,1,pos1_1_Na,26729.0,13275.0,27329.0,12675.0,600.0,600.0
10123886-USL-VAR-TIS-01-IMC-02_002.tiff,600,600,44,10123886-USL-VAR-TIS-01-IMC-02.mcd,,False,2,pos1_2_Na,31671.0,14957.0,32271.0,14357.0,600.0,600.0
10123886-USL-VAR-TIS-01-IMC-02_003.tiff,600,600,44,10123886-USL-VAR-TIS-01-IMC-02.mcd,,False,3,pos1_3_Na,29520.0,7334.0,30120.0,6734.0,600.0,600.0
10123885-USL-VAR-TIS-01-IMC-02_001.tiff,600,600,44,10123885-USL-VAR-TIS-01-IMC-02.mcd,,False,1,pos1_1_Na,39737.0,12529.0,40337.0,11929.0,600.0,600.0
