Object,panCK,HistoneH3,SMA,CD7,CD11b,Arg1,CD146,EGFR,CD45,CD31,MMP9,CD20,CD204,p53,CD3,Lamp3,CD11c,PD1,CD73,Bcl2,GATA3,CD155,CD10,NKG2A,FOXP3,CXCL13,CD8a,EOMES,CD137,CD134,CD209,CD56,Tbet,GITR,Ecad,Tim3,CXCL8,CD66b,DNA1,DNA2,Ki67,Podoplanin,IgG,CD15
1,0.15384615384615385,2.4038461538461537,0.3076923076923077,0.46153846153846156,0.0,0.0,0.07692307692307693,0.3076923076923077,2.2884615384615383,0.0,0.07692307692307693,0.0,0.0,0.0,0.8461538461538461,0.0,0.0,0.07692307692307693,0.15384615384615385,0.6346153846153846,0.0,0.0,0.23076923076923078,0.0,0.0,0.07692307692307693,0.0,0.0,0.07692307692307693,0.0,0.0,0.15384615384615385,0.07692307692307693,0.0,0.0,0.07692307692307693,0.0,0.0,15.096153846153847,25.846153846153847,0.07692307692307693,0.5384615384615384,0.6923076923076923,0.07692307692307693
2,0.15384615384615385,4.884615384615385,0.3076923076923077,0.07692307692307693,0.23076923076923078,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.5384615384615384,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.0,1.0769230769230769,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,0.15384615384615385,0.3076923076923077,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,1.1923076923076923,0.7692307692307693,0.07692307692307693,0.0,36.61538461538461,70.53846153846153,0.7692307692307693,0.23076923076923078,0.46153846153846156,0.15384615384615385
3,0.3076923076923077,2.2115384615384617,0.6923076923076923,0.07692307692307693,0.07692307692307693,0.3076923076923077,0.0,0.0,0.9423076923076923,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.07692307692307693,0.15384615384615385,0.0,0.0,0.07692307692307693,0.5384615384615384,0.0,0.0,0.0,3.423076923076923,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.07692307692307693,0.0,14.365384615384615,25.346153846153847,0.15384615384615385,0.07692307692307693,0.3076923076923077,0.07692307692307693
4,0.45454545454545453,2.8181818181818183,0.6363636363636364,0.0,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.18181818181818182,0.0,0.0,0.09090909090909091,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.09090909090909091,24.59090909090909,44.88636363636363,0.2727272727272727,0.18181818181818182,0.18181818181818182,0.0
5,1.263157894736842,1.368421052631579,0.10526315789473684,0.0,0.5263157894736842,0.0,0.0,0.05263157894736842,0.0,0.05263157894736842,0.15789473684210525,0.05263157894736842,0.10526315789473684,1.9605263157894737,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.0,0.2894736842105263,0.0,0.05263157894736842,0.10526315789473684,0.3684210526315789,0.0,0.2631578947368421,0.0,0.0,0.0,0.2631578947368421,0.0,0.0,0.0,0.10526315789473684,0.15789473684210525,8.447368421052632,0.3684210526315789,0.0,0.10526315789473684,11.631578947368421,22.986842105263158,0.05263157894736842,0.05263157894736842,0.21052631578947367,0.9078947368421053
6,0.35294117647058826,4.448529411764706,0.23529411764705882,0.0,0.029411764705882353,0.058823529411764705,0.08823529411764706,0.14705882352941177,0.0,0.0,0.029411764705882353,0.0,0.08823529411764706,0.11764705882352941,0.029411764705882353,0.0,0.0,0.11764705882352941,0.17647058823529413,0.0,0.0,0.5294117647058824,0.08823529411764706,0.0,0.0,0.0,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.0,0.0,0.0,0.0,0.029411764705882353,3.9779411764705883,0.17647058823529413,0.0,0.029411764705882353,25.735294117647058,52.455882352941174,0.5882352941176471,0.17647058823529413,0.17647058823529413,0.11764705882352941
7,0.2553191489361702,6.031914893617022,0.574468085106383,0.02127659574468085,0.02127659574468085,0.0425531914893617,0.0,0.14893617021276595,0.0425531914893617,0.06382978723404255,0.0425531914893617,0.06382978723404255,0.02127659574468085,0.06382978723404255,0.06382978723404255,0.0,0.0425531914893617,0.02127659574468085,0.0425531914893617,0.02127659574468085,0.0425531914893617,0.10638297872340426,0.0851063829787234,0.02127659574468085,0.0851063829787234,0.02127659574468085,0.02127659574468085,0.0,0.02127659574468085,0.0425531914893617,0.0,0.1702127659574468,0.0425531914893617,0.0,0.40425531914893614,0.0,0.0,0.0,26.164893617021278,44.420212765957444,0.7127659574468085,0.44680851063829785,0.44680851063829785,0.0851063829787234
8,0.15384615384615385,0.6153846153846154,1.0,0.46153846153846156,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,1.25,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,1.0769230769230769,0.0,0.07692307692307693,0.6153846153846154,0.38461538461538464,0.15384615384615385,0.0,0.15384615384615385,0.3076923076923077,0.0,0.07692307692307693,0.23076923076923078,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.38461538461538464,0.0,0.0,0.0,0.0,6.769230769230769,13.653846153846153,0.0,0.07692307692307693,0.5384615384615384,0.07692307692307693
9,0.6666666666666666,6.25,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,36.5,0.3333333333333333,0.3333333333333333,0.0,0.0
10,0.24390243902439024,3.408536585365854,0.5304878048780488,0.6402439024390244,0.23780487804878048,0.17073170731707318,0.12195121951219512,0.07317073170731707,0.7987804878048781,0.024390243902439025,0.04878048780487805,0.024390243902439025,0.0975609756097561,0.07317073170731707,0.17073170731707318,0.024390243902439025,0.024390243902439025,0.12195121951219512,0.21951219512195122,0.04878048780487805,0.024390243902439025,0.17073170731707318,0.12195121951219512,0.0,0.0,0.04878048780487805,2.432926829268293,0.024390243902439025,0.024390243902439025,0.0,0.0,0.3719512195121951,0.0,0.0,0.3902439024390244,0.0975609756097561,0.0,0.0,31.048780487804876,55.103658536585364,0.3902439024390244,0.07317073170731707,0.36585365853658536,0.14634146341463414
