Object,Neighbor,Distance
1,9,7.7178698
1,12,4.9694567
1,13,14.244496
1,36,5.106695
1,43,11.369612
1,54,13.154864
1,66,13.497377
2,14,6.579479
2,34,4.6922274
2,45,10.757489
3,6,9.355845
3,11,12.571351
3,37,12.694882
3,40,9.079092
3,48,8.5427
3,50,8.105521
3,73,14.948246
4,25,14.632564
4,26,6.0890813
4,49,10.070922
5,30,11.684961
6,37,4.9974036
6,48,14.335454
6,50,10.468548
6,53,12.112148
6,73,13.2522335
6,78,14.465951
8,9,7.8020096
8,17,14.421376
8,36,14.572405
8,42,7.0590425
8,43,9.039782
8,44,12.772078
8,66,14.878803
8,79,14.625011
9,12,12.620512
9,36,7.2441382
9,42,12.374561
9,43,6.064344
9,66,11.183379
10,19,12.085323
11,33,6.6824746
11,40,6.7593746
11,48,11.973233
11,58,9.376878
11,65,12.6369
12,13,9.288323
12,36,7.876809
12,39,12.600009
12,54,9.823104
12,77,13.957805
13,39,5.2844796
13,54,10.0109215
13,62,11.911474
13,82,14.057349
14,34,5.98781
14,45,5.572099
14,60,12.277412
15,31,13.0142355
15,32,5.9564867
15,37,13.167293
15,53,9.974315
15,67,14.586394
15,71,11.299136
17,42,12.310528
17,44,8.118721
19,35,7.8423963
19,59,13.58463
20,22,9.175238
20,57,10.72115
21,24,7.6958265
21,27,7.689471
21,29,14.840427
21,47,7.9021864
21,55,9.320069
21,63,10.923073
22,57,7.26689
23,38,11.122492
23,85,13.822643
24,47,13.12612
24,55,7.230431
24,63,11.897379
24,64,10.035099
24,70,10.256101
24,88,13.297432
25,26,8.60476
25,49,10.150934
25,52,6.630115
25,70,9.366652
25,80,14.119641
26,49,6.432757
26,52,12.587878
26,80,13.334201
27,29,7.1546545
27,47,6.5831943
27,51,13.711035
27,55,14.401092
27,63,13.05131
28,30,13.320097
28,46,9.214271
28,68,11.079476
28,72,12.686894
29,35,14.091137
29,47,11.307731
29,51,7.2235394
29,59,13.090465
30,68,11.067667
31,32,7.4438133
31,67,9.30735
31,99,14.874107
32,53,13.389927
32,67,9.424597
32,71,10.669652
33,40,11.35175
33,58,8.753192
33,65,7.6931815
33,84,13.601732
34,45,7.5014157
34,60,13.379836
34,87,14.956538
35,51,9.912451
35,59,6.7475085
36,43,7.772771
36,54,11.804802
36,66,8.495137
36,77,12.776754
36,97,13.428756
36,98,12.90069
37,48,14.888662
37,50,10.23877
37,53,7.4741755
37,73,9.998861
37,78,9.5899725
38,86,10.622956
39,54,8.299759
39,62,6.6370115
39,77,13.178628
39,82,9.417748
39,92,12.9016905
40,48,5.2481675
40,50,9.588306
40,58,7.426583
40,65,13.747689
40,75,9.093055
40,90,13.109941
40,104,13.881311
41,83,11.456854
41,94,12.759673
42,43,9.515325
42,44,6.9893093
42,66,13.539556
42,79,9.110696
42,81,8.66607
42,105,13.58156
43,66,5.9635377
43,79,10.006822
43,81,14.367327
43,97,11.3670435
44,79,12.422684
44,81,8.052699
44,105,13.074042
45,60,6.7650366
45,69,12.952699
46,68,14.82514
46,72,6.447479
46,89,10.885006
47,55,9.384944
47,63,6.666835
47,88,14.654609
48,50,4.7568474
48,58,10.21514
48,73,10.805434
48,75,6.5504565
48,90,8.499867
48,104,12.708882
49,52,10.23786
49,80,6.988294
49,109,14.605122
50,58,14.911485
50,73,7.232815
50,75,9.479905
50,78,13.506255
50,90,8.145058
50,111,14.758173
51,59,6.269529
52,64,11.146072
52,70,6.325184
52,80,10.416029
53,71,7.9599314
53,73,12.239304
53,78,6.653192
53,115,13.711975
54,62,9.979825
54,77,5.534621
54,82,7.86318
54,98,10.676413
54,117,13.799407
55,63,5.1593857
55,64,7.4846907
55,70,11.868908
55,88,7.249071
56,74,7.9966187
58,65,6.9477477
58,75,8.504212
58,84,8.076047
58,90,14.336477
58,95,13.455748
58,104,9.4684725
58,116,13.05083
60,69,7.171326
60,93,12.224403
61,76,14.474611
61,85,10.443931
62,77,12.416096
62,82,5.0379977
62,87,12.678202
62,92,6.3136415
62,123,12.728926
63,64,11.3591175
63,88,8.096746
64,70,6.1898074
64,88,5.926168
64,134,14.74253
65,75,14.734136
65,84,6.4864435
65,95,7.793605
65,104,13.035196
65,116,12.658293
65,126,14.899419
66,77,13.444932
66,79,9.203378
66,97,5.6653605
66,98,9.896582
66,114,11.759886
66,122,13.391008
67,71,10.373761
67,99,6.906036
67,121,14.364809
68,72,12.720993
68,100,11.362345
69,93,5.6020913
69,129,11.666183
70,88,12.107203
71,78,11.271144
71,99,14.739899
72,89,8.378586
73,75,11.713351
73,78,7.3385477
73,90,6.5375667
73,111,8.290215
73,115,10.369953
73,119,11.895392
74,130,13.30941
75,84,12.156617
75,90,5.8800373
75,104,6.311615
75,111,14.328198
75,116,13.404732
75,119,10.098015
75,145,13.787039
76,96,4.4576535
76,132,12.664819
77,82,8.150908
77,97,13.201409
77,98,5.633026
77,117,9.12698
77,122,14.18933
77,140,13.691017
78,90,13.458312
78,111,10.103037
78,115,7.548686
78,146,14.54111
79,81,6.001905
79,97,9.587203
79,105,7.192996
79,114,8.647301
79,138,13.566225
80,109,10.409943
80,135,14.934086
80,143,12.611779
81,105,5.268174
81,114,12.501294
82,92,7.5989556
82,98,13.239137
82,117,10.210642
82,123,11.2104225
83,94,11.406277
84,95,7.004836
84,104,8.007348
84,116,6.198747
84,126,10.607887
84,157,12.838616
85,86,14.158239
85,112,7.51319
86,112,12.59913
86,158,14.635408
87,92,8.306568
87,110,5.7148023
87,118,11.116145
87,123,12.067471
87,141,11.328491
87,148,11.633813
88,134,11.299011
88,161,14.149614
89,109,12.584596
90,104,10.086613
90,111,8.775562
90,115,13.621209
90,119,7.263632
90,145,13.43086
91,137,10.07402
91,147,10.885006
92,110,11.968925
92,117,14.372829
92,123,7.2706213
92,148,12.907503
93,129,8.227965
94,156,13.692541
95,104,14.822127
95,116,10.279377
95,126,7.9896975
95,155,14.188432
95,157,14.30635
96,132,9.817058
97,98,7.9550586
97,105,14.387932
97,114,7.369909
97,122,7.91991
97,138,9.925769
97,140,13.201067
97,159,14.112831
97,162,12.830449
98,114,14.400273
98,117,9.394468
98,122,8.956653
98,138,14.822516
98,140,10.262924
98,162,14.835229
99,121,7.849505
99,144,14.762473
99,154,12.280315
100,113,7.5107155
100,139,8.751371
101,133,10.827571
101,149,9.502494
101,175,14.172558
102,108,12.026678
102,124,7.122841
102,133,10.582969
102,173,14.233964
103,106,6.310232
103,127,8.269712
103,128,14.762576
103,131,11.351849
103,136,11.277591
104,116,7.2350645
104,119,9.535695
104,145,9.57869
104,157,13.210046
104,164,13.160702
105,114,9.165062
105,138,13.045134
105,159,12.197291
105,172,13.653906
106,125,11.035555
106,127,7.51876
106,131,14.908637
106,136,5.979894
106,169,13.167881
108,124,7.2339177
109,143,11.539841
109,150,7.776121
110,118,6.305212
110,123,12.401739
110,141,5.730515
110,148,7.883799
110,163,14.883646
110,180,13.11578
111,115,5.7503867
111,119,7.571582
111,145,13.914468
111,146,10.42223
112,158,10.97744
113,139,11.578341
114,122,8.918909
114,138,4.9193497
114,159,7.415449
114,162,10.144185
114,189,14.188331
115,119,13.266933
115,146,7.299427
116,119,14.603849
116,126,8.496885
116,145,10.704902
116,157,7.0374393
116,164,10.246797
116,183,14.7550955
117,122,12.120177
117,123,11.808228
117,140,7.7402663
117,160,8.362431
117,166,13.171245
117,186,13.751261
118,141,6.143603
118,148,11.520011
118,163,9.6562
118,180,14.577916
118,192,13.354679
118,197,14.945711
119,145,6.9702992
119,164,13.31511
120,167,9.433981
120,181,11.095545
121,144,9.807471
121,154,4.8883004
122,138,6.7763095
122,140,6.1481586
122,159,11.404787
122,162,5.9426513
122,186,11.563786
122,189,13.268161
123,141,13.694146
123,148,8.605724
123,160,11.927934
123,166,7.785917
123,180,13.017248
123,191,12.831763
124,133,12.78968
124,173,11.849204
125,127,14.519178
125,136,7.6125183
125,169,9.981015
125,195,13.474414
126,155,9.280017
126,157,7.955151
126,164,14.413787
126,183,10.114065
127,128,14.886833
127,131,8.985424
127,136,6.9072933
127,169,10.600231
127,182,9.364077
127,184,10.973138
128,131,6.1851926
128,144,9.015799
128,184,11.802275
129,176,10.379147
130,198,14.079874
131,144,14.800541
131,182,13.512984
131,184,7.461038
132,151,8.976637
132,165,8.975008
132,196,14.69566
132,217,14.945131
133,149,11.265318
133,173,8.08243
133,175,8.379207
133,210,14.158145
134,135,9.251049
134,142,14.148942
134,161,7.286788
134,168,11.837596
134,178,8.118688
134,187,10.117977
134,194,14.254306
134,215,14.254855
135,143,8.867825
135,168,6.088488
135,178,10.583654
136,169,7.2624173
136,182,11.384521
136,195,13.351507
137,147,5.2841473
137,152,11.757022
137,171,7.0167613
137,205,12.924125
138,140,11.993694
138,159,4.766783
138,162,5.470589
138,186,14.230554
138,189,9.583521
138,199,13.831887
139,179,9.1355
140,160,9.415683
140,162,8.228922
140,186,7.6920333
140,189,14.868976
140,220,14.73883
141,148,5.76484
141,163,10.683617
141,180,8.573343
141,192,10.43173
141,197,14.159802
141,200,11.040975
142,153,8.62104
142,161,8.183618
142,174,5.783376
142,177,13.164733
142,187,13.052206
142,194,10.354462
142,207,12.720428
143,150,8.512034
143,168,8.769016
144,154,6.4687185
145,157,11.133608
145,164,6.3466806
145,213,13.136053
146,188,9.081476
146,225,13.459987
147,171,5.3304453
147,205,10.988416
147,219,13.934913
148,166,10.005362
148,180,6.1045413
148,191,12.236546
148,192,13.160458
148,200,11.049554
149,175,7.7334766
149,202,11.967511
151,217,12.711087
152,158,12.38622
152,170,5.5221395
152,185,12.518929
153,174,9.500517
153,177,5.8164616
153,190,12.219929
153,194,14.983641
153,207,11.802488
153,222,12.644813
154,216,11.962816
155,183,10.880476
157,164,6.558468
157,183,8.431926
157,204,9.122409
157,213,13.226687
158,170,9.129903
158,185,5.8524528
159,162,8.138799
159,172,11.771372
159,189,7.869622
159,199,9.454511
160,166,7.843918
160,186,9.753077
160,191,10.348693
160,208,9.847738
160,220,11.975127
160,227,13.577918
160,235,13.930955
161,174,8.322128
161,178,9.840277
161,187,6.157385
161,194,7.618517
161,207,14.744464
161,215,13.105027
161,223,12.187725
161,224,12.119014
162,186,8.775196
162,189,7.4004445
162,199,14.521409
163,176,13.019548
163,180,14.872086
163,192,7.3795366
163,197,5.7783785
163,200,12.609915
163,209,11.907358
163,229,12.1549225
164,183,12.842233
164,204,9.246083
164,213,8.6855135
165,196,6.4534297
165,217,14.812344
166,180,10.267586
166,191,5.2742033
166,208,12.432175
166,227,10.411824
167,181,6.5608263
167,201,7.4658966
167,202,12.349089
167,214,12.619137
168,178,8.264318
168,215,12.715635
169,182,7.6566625
169,195,6.3194394
170,185,7.347805
171,205,6.0617456
171,219,10.191607
172,199,9.168647
172,219,13.599735
173,175,10.023788
173,210,8.879563
173,246,14.675078
174,177,11.455262
174,187,10.309676
174,194,5.593226
174,207,7.3405514
174,222,13.258536
174,223,9.765427
174,224,13.578972
175,202,13.5282345
175,210,9.395471
176,197,13.153469
176,209,7.179178
176,228,9.799775
176,251,12.396245
177,190,7.170256
177,207,9.742067
177,211,13.614886
177,221,9.595797
177,222,7.5550275
178,187,6.805668
178,194,12.639
178,215,6.61669
178,223,14.239763
178,224,9.791405
178,248,13.410096
179,226,13.143194
180,191,9.526733
180,192,9.589976
180,200,5.5504384
180,227,12.478481
180,229,13.86828
180,236,11.783003
181,201,9.652099
181,214,6.637104
182,184,9.08999
182,195,10.874784
183,204,7.0641003
183,213,14.739262
183,240,11.400672
186,189,11.516818
186,208,10.431195
186,220,7.5417023
186,235,12.857721
186,243,13.052418
187,194,5.8364015
187,207,14.011324
187,215,7.274257
187,223,8.124659
187,224,6.0994754
187,247,12.491872
187,248,11.751876
188,225,8.345481
188,230,7.6732264
188,239,10.14393
188,253,14.904357
188,260,13.993045
189,199,8.252498
189,234,9.726943
189,243,11.720018
190,211,6.5876045
190,221,5.5559645
190,222,9.280723
190,237,12.405224
190,245,11.293103
190,254,13.259606
191,200,12.983125
191,208,9.906162
191,220,14.990997
191,227,5.2240376
191,235,12.548493
191,236,11.165672
192,197,5.5165296
192,200,5.5979376
192,209,14.347255
192,229,6.569889
192,236,14.536553
193,198,10.26312
193,238,9.498497
194,207,8.222214
194,215,11.730056
194,223,4.999815
194,224,7.9872804
194,247,11.2206545
194,248,13.496819
194,256,13.083655
195,206,10.1608095
195,252,10.290974
196,217,14.075966
196,250,14.542283
197,200,10.88828
197,209,8.867572
197,229,7.0167
197,258,11.803243
197,272,14.959299
198,203,12.428176
198,238,10.815081
199,234,8.719464
200,227,13.970625
200,229,8.36567
200,236,9.655035
200,268,14.379726
201,202,7.4004006
201,214,12.216105
201,244,10.780128
201,259,14.025009
201,273,14.596256
202,244,8.532824
203,233,11.235675
204,213,7.8280544
204,240,7.477065
204,261,12.746279
205,219,5.317438
205,263,12.109885
206,252,13.068685
206,280,13.102622
206,284,14.757785
207,221,13.600405
207,222,7.099669
207,223,8.331822
207,224,14.111652
207,247,12.976316
207,254,14.611679
207,255,11.252049
207,256,9.771405
208,220,5.218733
208,227,8.52827
208,235,4.093574
208,267,14.935336
208,270,10.835177
209,228,10.169815
209,229,13.031087
209,251,8.689336
209,258,9.335687
209,277,14.416498
210,246,6.628756
210,264,12.136863
211,221,6.7039905
211,222,13.139633
211,231,10.632691
211,237,6.075193
211,245,7.825716
