channel,name,keep,ilastik,deepcell,Tube Number
Y89,panCK,1,1,2,3014
In113,HistoneH3,1,2,1,3015
In115,SMA,1,3,,3016
Pr141,CD7,1,4,,2913
Nd142,CD11b,1,5,,2914
Nd143,Arg1,1,6,,2813
Nd144,CD146,1,7,,3036
Nd145,EGFR,1,8,,3037
Nd146,CD45,1,9,,3017
Sm147,CD31,1,10,,3018
Nd148,MMP9,1,11,,2800
Sm149,CD20,1,12,2,2944
Nd150,CD204,1,13,,3019
Eu151,p53,1,14,,3214
Sm152,CD3,1,15,2,2945
Eu153,Lamp3,1,16,,2844
Sm154,CD11c,1,17,,3021
Gd155,PD1,1,18,,3058
Gd156,CD73,1,19,,3038
Gd158,Bcl2,1,20,,3022
Tb159,GATA3,1,21,,3039
Gd160,CD155,1,22,,3040
Dy161,CD10,1,23,,2809
Dy162,NKG2A,1,24,,2947
Dy163,FOXP3,1,25,,3023
Dy164,CXCL13,1,26,,2847
Ho165,CD8a,1,27,2,2990
Er166,EOMES,1,28,,3024
Er167,CD137,1,29,,2817
Er168,CD134,1,30,,3025
Tm169,CD209,1,31,,2948
Er170,CD56,1,32,,2803
Yb171,Tbet,1,33,,2821
Yb172,GITR,1,34,,2810
Yb173,Ecad,1,35,2,3057
Yb174,Tim3,1,36,,3026
Lu175,CXCL8,1,37,,2799
Yb176,CD66b,1,38,,2652
Ir191,DNA1,1,39,1,0
Ir193,DNA2,1,40,1,0
Pt194,Ki67,1,41,,3041
Pt195,Podoplanin,1,42,,3042
Pt196,IgG,1,43,,2993
Bi209,CD15,1,44,,3027
